ts_utc,open,high,low,close,volume
2025-07-15 16:29:00+02:00,1.1624,1.1624,1.16219,1.1622,225
2025-07-15 16:30:00+02:00,1.16219,1.16238,1.16213,1.16234,308
2025-07-15 16:31:00+02:00,1.16233,1.16248,1.16202,1.16202,342
2025-07-15 16:32:00+02:00,1.162,1.16207,1.1616,1.16163,438
2025-07-15 16:33:00+02:00,1.16162,1.16189,1.16162,1.16177,183
2025-07-15 16:34:00+02:00,1.16178,1.16204,1.16177,1.16204,183
2025-07-15 16:35:00+02:00,1.16203,1.16224,1.16191,1.16196,276
2025-07-15 16:36:00+02:00,1.16194,1.162,1.16174,1.16177,257
2025-07-15 16:37:00+02:00,1.16176,1.16181,1.16169,1.16179,159
2025-07-15 16:38:00+02:00,1.16184,1.1623,1.16184,1.16226,280
2025-07-15 16:39:00+02:00,1.16226,1.16238,1.16222,1.16236,257
2025-07-15 16:40:00+02:00,1.16237,1.1625,1.16221,1.16221,258
2025-07-15 16:41:00+02:00,1.16219,1.16228,1.16195,1.16218,273
2025-07-15 16:42:00+02:00,1.16218,1.16227,1.16208,1.1621,191
2025-07-15 16:43:00+02:00,1.1621,1.1621,1.16188,1.16194,153
2025-07-15 16:44:00+02:00,1.16192,1.16204,1.1618,1.16188,179
2025-07-15 16:45:00+02:00,1.16186,1.162,1.16181,1.16198,191
2025-07-15 16:46:00+02:00,1.16199,1.16199,1.16184,1.16191,186
2025-07-15 16:47:00+02:00,1.1619,1.162,1.16177,1.16198,188
2025-07-15 16:48:00+02:00,1.16197,1.16197,1.16174,1.16183,175
2025-07-15 16:49:00+02:00,1.16184,1.16196,1.16176,1.16196,228
2025-07-15 16:50:00+02:00,1.16196,1.162,1.16158,1.1616,187
2025-07-15 16:51:00+02:00,1.16159,1.1618,1.16153,1.16176,259
2025-07-15 16:52:00+02:00,1.16177,1.16182,1.16168,1.16174,161
2025-07-15 16:53:00+02:00,1.16176,1.16196,1.16172,1.16186,195
